Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,KPAR,KS,GS,As
Maokai,2,1.70%,-,2,1,1,1,50%,1,3.5,7.5,2.43,51,1.53,8,240,68%,8%,13.50%,
,,,,,,,,,,,,,,,,,,,,
Senna,2,1.70%,-,2,1,1,1,50%,1.5,1.5,12.5,9.33,54,1.73,9.2,296,84.80%,9.10%,16.70%,
,,,,,,,,,,,,,,,,,,,,
Zed,2,1.70%,-,2,2,1,1,50%,1.5,3,1.5,1,191,7.09,8.9,331,30%,15%,19.20%,
,,,,,,,,,,,,,,,,,,,,
Tahm Kench,2,1.70%,1,1,1,1,0,100%,4,0,7,11,286,7.81,14.7,401,57.90%,21.10%,20.50%,
,,,,,,,,,,,,,,,,,,,,
Karma,2,1.70%,1,1,1,0,1,0%,1,3,3,1.33,35,0.86,8.3,203,80%,20%,12.40%,
,,,,,,,,,,,,,,,,,,,,
Ornn,2,1.70%,1,1,1,0,1,0%,1,2,3,2,183,7.28,7.9,313,80%,20%,20.50%,
,,,,,,,,,,,,,,,,,,,,
Seraphine,2,1.70%,1,1,1,0,1,0%,2,1,8,10,302,8.1,14.4,386,90.90%,18.20%,23.50%,
,,,,,,,,,,,,,,,,,,,,
Bard,1,0.80%,-,1,1,1,0,100%,1,0,10,11,22,0.64,8.6,250,64.70%,5.90%,13.40%,
,,,,,,,,,,,,,,,,,,,,
Ashe,1,0.80%,-,1,1,0,1,0%,2,6,5,1.17,226,7.33,11.1,358,53.80%,15.40%,20.50%,
,,,,,,,,,,,,,,,,,,,,
Shaco,1,0.80%,-,1,1,0,1,0%,0,4,1,0.25,125,4.62,6.7,247,25%,0%,17.10%,
,,,,,,,,,,,,,,,,,,,,
Vayne,1,0.80%,-,1,1,0,1,0%,4,3,2,2,181,7.87,10.7,464,66.70%,44.40%,28%,
,,,,,,,,,,,,,,,,,,,,
Vladimir,1,0.80%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
